PC6,gemeente,nhh,bsr6et,pBehoudend_x,pCalculerend_x,pIdealistisch_x,pVolgend_x,pGemakzuchtig_x,pSober_x,INWONER,MAN,VROUW,INW_014,INW_1524,INW_2544,INW_4564,INW_65PL,P_NL_ACHTG,P_WE_MIG_A,P_NW_MIG_A,AANTAL_HH,TOTHH_EENP,TOTHH_MPZK,HH_EENOUD,HH_TWEEOUD,GEM_HH_GR,WONING,WONVOOR45,WON_4564,WON_6574,WON_7584,WON_8594,WON_9504,WON_0514,P_HUURWON,P_KOOPWON,WOZWONING,G_GAS_WON,G_ELEK_WON,UITKMINAOW,AFS_SUPERM,AV1_SUPERM,AV3_SUPERM,AV5_SUPERM,STED,pBehoudend_y,pCalculerend_y,pIdealistisch_y,pVolgend_y,pGemakzuchtig_y,pSober_y,segments,seg_name,Adoption Rate,Referentie_2030,Vrijstaande_woning,2_onder_1_kap,Rijwoning_hoek,Rijwoning_tussen,Appartementen,dominant_built_type,Label_A_en_beter,Label_B,Label_C,Label_D,Label_E,Label_F,Label_G,dominant_energy_label,dominant_built_year,dominant_age_group
5215DR,'s-Hertogenbosch,25,Sobere passieven,0.0,0.0,0.0,0.0,0.0,100.0,5250.0,47.05,52.95,13.33,10.29,28.57,26.29,21.52,80.0,10.0,10.0,2685.0,47.67,25.7,6.7,19.37,1.9,2690.0,9.11,38.1,23.42,7.43,7.06,3.53,10.04,60.0,40.0,183.0,1090.0,2740.0,12.86,0.4,1.7,12.2,25.7,1.0,10.6,14.4,12.7,25.9,19.1,17.4,1,S2,0.0,533427,0.0,0.0,0.0,0.0,100.0,Appartementen,0.0,0.0,69.46,30.54,0.0,0.0,0.0,Label_C,WON_4564,INW_2544
5215DS,'s-Hertogenbosch,14,Sobere passieven,0.0,0.0,21.4,0.0,0.0,78.6,5250.0,47.05,52.95,13.33,10.29,28.57,26.29,21.52,80.0,10.0,10.0,2685.0,47.67,25.7,6.7,19.37,1.9,2690.0,9.11,38.1,23.42,7.43,7.06,3.53,10.04,60.0,40.0,183.0,1090.0,2740.0,12.86,0.4,1.7,12.2,25.7,1.0,10.6,14.4,12.7,25.9,19.1,17.4,1,S2,0.0,533427,0.0,0.0,0.0,0.0,100.0,Appartementen,0.0,0.0,69.46,30.54,0.0,0.0,0.0,Label_C,WON_4564,INW_2544
5215DT,'s-Hertogenbosch,8,Sobere passieven,0.0,0.0,37.5,0.0,0.0,62.5,5250.0,47.05,52.95,13.33,10.29,28.57,26.29,21.52,80.0,10.0,10.0,2685.0,47.67,25.7,6.7,19.37,1.9,2690.0,9.11,38.1,23.42,7.43,7.06,3.53,10.04,60.0,40.0,183.0,1090.0,2740.0,12.86,0.4,1.7,12.2,25.7,1.0,10.6,14.4,12.7,25.9,19.1,17.4,1,S2,0.0,533427,0.0,0.0,0.0,0.0,100.0,Appartementen,0.0,0.0,69.46,30.54,0.0,0.0,0.0,Label_C,WON_4564,INW_2544
5215DV,'s-Hertogenbosch,29,Sobere passieven,0.0,3.4,17.2,3.4,17.2,58.6,5250.0,47.05,52.95,13.33,10.29,28.57,26.29,21.52,80.0,10.0,10.0,2685.0,47.67,25.7,6.7,19.37,1.9,2690.0,9.11,38.1,23.42,7.43,7.06,3.53,10.04,60.0,40.0,183.0,1090.0,2740.0,12.86,0.4,1.7,12.2,25.7,1.0,10.6,14.4,12.7,25.9,19.1,17.4,1,S2,20.69,533427,0.0,0.0,0.0,0.0,100.0,Appartementen,0.0,0.0,69.46,30.54,0.0,0.0,0.0,Label_C,WON_4564,INW_2544
5215DW,'s-Hertogenbosch,17,Gemakzuchtige ontplooiers,0.0,5.9,0.0,0.0,82.4,11.8,5250.0,47.05,52.95,13.33,10.29,28.57,26.29,21.52,80.0,10.0,10.0,2685.0,47.67,25.7,6.7,19.37,1.9,2690.0,9.11,38.1,23.42,7.43,7.06,3.53,10.04,60.0,40.0,183.0,1090.0,2740.0,12.86,0.4,1.7,12.2,25.7,1.0,10.6,14.4,12.7,25.9,19.1,17.4,1,S2,85.29,533427,0.0,0.0,0.0,0.0,100.0,Appartementen,0.0,0.0,69.46,30.54,0.0,0.0,0.0,Label_C,WON_4564,INW_2544
5215EA,'s-Hertogenbosch,70,Sobere passieven,1.4,2.9,10.0,2.9,30.0,52.9,5250.0,47.05,52.95,13.33,10.29,28.57,26.29,21.52,80.0,10.0,10.0,2685.0,47.67,25.7,6.7,19.37,1.9,2690.0,9.11,38.1,23.42,7.43,7.06,3.53,10.04,60.0,40.0,183.0,1090.0,2740.0,12.86,0.4,1.7,12.2,25.7,1.0,10.6,14.4,12.7,25.9,19.1,17.4,1,S2,34.36,533427,0.0,0.0,0.0,0.0,100.0,Appartementen,0.0,0.0,69.46,30.54,0.0,0.0,0.0,Label_C,WON_4564,INW_2544
5215EB,'s-Hertogenbosch,24,Sobere passieven,0.0,0.0,8.3,0.0,4.2,87.5,5250.0,47.05,52.95,13.33,10.29,28.57,26.29,21.52,80.0,10.0,10.0,2685.0,47.67,25.7,6.7,19.37,1.9,2690.0,9.11,38.1,23.42,7.43,7.06,3.53,10.04,60.0,40.0,183.0,1090.0,2740.0,12.86,0.4,1.7,12.2,25.7,1.0,10.6,14.4,12.7,25.9,19.1,17.4,1,S2,6.25,533427,0.0,0.0,0.0,0.0,100.0,Appartementen,0.0,0.0,69.46,30.54,0.0,0.0,0.0,Label_C,WON_4564,INW_2544
5215EC,'s-Hertogenbosch,24,Sobere passieven,4.2,4.2,16.7,0.0,0.0,75.0,5250.0,47.05,52.95,13.33,10.29,28.57,26.29,21.52,80.0,10.0,10.0,2685.0,47.67,25.7,6.7,19.37,1.9,2690.0,9.11,38.1,23.42,7.43,7.06,3.53,10.04,60.0,40.0,183.0,1090.0,2740.0,12.86,0.4,1.7,12.2,25.7,1.0,10.6,14.4,12.7,25.9,19.1,17.4,1,S2,0.0,533427,0.0,0.0,0.0,0.0,100.0,Appartementen,0.0,0.0,69.46,30.54,0.0,0.0,0.0,Label_C,WON_4564,INW_2544
5215ED,'s-Hertogenbosch,24,Sobere passieven,0.0,4.2,8.3,0.0,29.2,58.3,5250.0,47.05,52.95,13.33,10.29,28.57,26.29,21.52,80.0,10.0,10.0,2685.0,47.67,25.7,6.7,19.37,1.9,2690.0,9.11,38.1,23.42,7.43,7.06,3.53,10.04,60.0,40.0,183.0,1090.0,2740.0,12.86,0.4,1.7,12.2,25.7,1.0,10.6,14.4,12.7,25.9,19.1,17.4,1,S2,31.87,533427,0.0,0.0,0.0,0.0,100.0,Appartementen,0.0,0.0,69.46,30.54,0.0,0.0,0.0,Label_C,WON_4564,INW_2544
5215EE,'s-Hertogenbosch,24,Sobere passieven,4.2,0.0,12.5,0.0,8.3,75.0,5250.0,47.05,52.95,13.33,10.29,28.57,26.29,21.52,80.0,10.0,10.0,2685.0,47.67,25.7,6.7,19.37,1.9,2690.0,9.11,38.1,23.42,7.43,7.06,3.53,10.04,60.0,40.0,183.0,1090.0,2740.0,12.86,0.4,1.7,12.2,25.7,1.0,10.6,14.4,12.7,25.9,19.1,17.4,1,S2,11.25,533427,0.0,0.0,0.0,0.0,100.0,Appartementen,0.0,0.0,69.46,30.54,0.0,0.0,0.0,Label_C,WON_4564,INW_2544
