id_mzml,id_molecule,source,retention_time_exp,retention_time,rt_diff,tic,mass_exp,mass,cosine_similarity_20,scholle_similarity_20,cosine_similarity_40,scholle_similarity_40,root_similarity_20,root_similarity_40,cosine_similarity_isotopic_mod,num_isotopic_exp_peaks,num_isotopic_the_peaks,acquisition_mode,niveau_de_confiance,found_peaks_isotopic,niveau_de_confiance_1
50,96,INERIS,12.97155,13.038,-0.06644999999999968,4937.3310546875,394.073527537146,394.07407,0.980384512594523,0.9692814789892271,0.9044818222660049,0.9530151636547869,0.914154124523202,0.9089131240448199,0.9926659395872409,2,4,Data independant,1,1,1
10,13,INERIS,13.442633333333,13.467,-0.02436666666699949,782572.6875,308.234772127726,308.23514,0.504199930349669,0.182109090225137,0.364245878556747,0.267697658352588,0.7711981864958639,0.676422912441764,0.9999205443143341,3,4,Data independant,2A,1,1
16,613,Agilent,9.165616666667,,,942347.0625,255.006633687257,255.00785,0.9993522785632489,0.9996334781616509,0.134859819614138,0.294624954037744,0.9897402992303291,0.582335036354558,0.9994983356812259,6,6,Data independant,2B,1,1
54,202,INERIS,7.538683333333,7.749,-0.2103166666669996,3101.46923828125,313.98037941557,313.98009,0.242371064164985,0.210773870449188,0.318419797542354,0.17668555264983,0.609864134538531,0.5773376893437261,0.997826644176085,1,3,Data independant,1,0,1
14,353,Agilent,11.07425,,,242207.1875,222.089638492602,222.08921,0.620520997559438,0.798533666513411,0.7780684904525791,0.635041259926247,0.72328904841585,0.875217826931057,0.998090785930488,3,4,Data independant,2B,1,1
77,115,INERIS,12.08615,12.134,-0.04785000000000039,22744.701171875,435.937497826142,435.93871,0.9959928580996609,0.996483999701998,0.834977973537634,0.9093416432355791,0.972419756904312,0.8611992975701341,0.999261102908116,6,7,Data independant,1,1,1
44,195,INERIS,6.154816666667,6.335,-0.1801833333329999,54444.23046875,299.950544094261,299.95027,1.0,1.0,0.967888550264037,0.952846580942562,1.0,0.960176624439504,0.994293534024479,3,4,Data independant,1,1,1
44,1023,Agilent,11.272333333333,,,162006.125,430.060745141108,430.06104,0.9869799701579921,0.992817425429614,0.985161244514361,0.976765528696405,0.9841747050521559,0.9859879794574431,0.996992905585672,4,5,Data independant,2B,1,1
10,141,INERIS,10.138066666667,10.175,-0.03693333333300153,2365153.25,428.232772926839,428.2324599999999,0.942570101610833,0.8752334305506791,0.978153160078011,0.9829230480514259,0.974414822337368,0.9327880478094279,0.999955796885553,4,4,Data independant,1,1,1
75,204,INERIS,9.209516666667,9.334,-0.124483333333,171309.75,399.943080882388,399.94388,1.0,1.0,0.964806910613707,0.965604354443514,1.0,0.9846933306878829,0.9985884047624141,3,4,Data independant,2A,1,1
52,115,INERIS,12.09075,12.134,-0.04325000000000045,101310.6328125,435.9382536446331,435.93871,0.994000185154468,0.9944268760950409,0.969722862308504,0.9751980955804871,0.988407374059978,0.990923700761389,0.999439668388353,6,7,Data independant,1,1,1
40,981,Agilent,12.011066666667,,,16860.302734375,403.117400594714,403.11682,0.9676729557323399,0.973172125288658,0.0360239972011795,0.0457261280258556,0.86956595299892,0.19396190255339,0.9869669574202171,2,4,Data independant,2B,1,1
40,741,Agilent,8.809433333333,,,111004.15625,282.06210389523,282.06161,0.997534728123851,0.997390161079925,0.9298390050435309,0.9662848779007879,0.996675897103922,0.832734884971771,0.9952904114107459,2,4,Data independant,2B,1,1
10,283,INERIS,8.003633333333,8.002,0.001633333332998532,568182.1875,435.226412705586,435.22704,0.9791378276672041,0.9767936523340199,0.808910284626766,0.9303011332519041,0.966024424848748,0.7877396990252359,0.9997702491649421,3,4,Data independant,1,1,1
58,209,INERIS,10.543333333333,10.417,0.126333333333001,19547.521484375,499.936205863975,499.93749,1.0,1.0,0.353373798633243,0.505287690360947,1.0,0.7129305089815308,0.995698857944989,3,4,Data independant,1,1,1
64,115,INERIS,12.09605,12.134,-0.03795000000000037,6171.650390625,435.937042873924,435.93871,0.988091917500827,0.9912730943229051,0.781500701345806,0.8489731187049641,0.9204275893903191,0.7159389560529709,0.9889443076857699,4,7,Data independant,1,1,1
34,1393,Agilent,10.888333333333,,,195591.921875,388.153569589524,388.15537,0.923941472979908,0.944880690567062,0.919343468893451,0.9277092545221209,0.91746776505163,0.976449759473367,0.999521898365196,4,6,Data independant,2B,1,1
18,1072,Agilent,10.2037,,,337025.71875,328.145878648967,328.14568,0.9950783041110229,0.9952042140500429,0.600317033730641,0.8739014629907991,0.9825078631746259,0.7465316823325391,0.9979354652626841,4,5,Data independant,2B,1,1
34,28,INERIS,11.029766666667,11.111,-0.08123333333299954,72153.8984375,215.093329932299,215.0937732,0.445724192676867,0.6236021845577211,0.4424446126414679,0.529596722499903,0.7452832930069129,0.6995594595133449,0.988583202624245,4,5,Data independant,2A,1,1
28,58,INERIS,11.939783333333,12.206,-0.2662166666669989,431421.5,379.245171208413,379.24711,0.509606323894665,0.9115331359806509,0.192675049118208,0.215998254842147,0.665299704922467,0.590766647345906,0.998960281393033,3,4,Data independant,1,1,1
46,204,INERIS,9.276066666667,9.334,-0.05793333333299877,127276.0234375,399.944144566575,399.94388,1.0,1.0,0.9168440061961121,0.8598493721726149,1.0,0.950809683014023,0.998757574791899,3,4,Data independant,2A,1,1
52,702,Agilent,7.500416666667,,,1384421.875,119.048892803388,119.04835,0.992539805714,0.997927513449662,0.991741759908188,0.974983363942852,0.9841642686348879,0.93647610119522,0.999990069793395,3,3,Data independant,2B,1,1
16,98,INERIS,15.02895,15.097,-0.06805000000000128,120647.0078125,446.339466335748,446.3396099999999,0.8233145922504699,0.8105436320101009,0.7157281253877958,0.6019232111129009,0.950098219723514,0.8978486845197808,0.984605297082001,2,4,Data independant,1,1,1
16,257,INERIS,11.2744,11.358,-0.08359999999999879,2577798.0,514.237784692681,514.2368799999999,0.999274436684136,0.9993242269474221,0.9790237654698871,0.9879163798767858,0.981470820396742,0.980379887624629,0.999972112542282,4,4,Data independant,1,1,1
