id_mzml,id_molecule,source,retention_time_exp,retention_time,rt_diff,tic,mass_exp,mass,cosine_similarity_20,scholle_similarity_20,cosine_similarity_40,scholle_similarity_40,root_similarity_20,root_similarity_40,cosine_similarity_isotopic_mod,num_isotopic_exp_peaks,num_isotopic_the_peaks,acquisition_mode,niveau_de_confiance,found_peaks_isotopic,niveau_de_confiance_1,rt_diff_abs
32,141,INERIS,10.128166666667,10.175,-0.04683333333299977,1659142.5,428.231737546643,428.2324599999999,0.962020293999506,0.9093646952311529,0.9676560888784341,0.9809765917607242,0.9808296304863091,0.9135572190664771,0.999953002845736,4,4,Data independant,1,1,1,0.04683333333299977
24,89,INERIS,12.8746,12.995,-0.1204000000000001,1473420.875,278.153040773559,278.15181,0.968973644098999,0.994517726727453,0.694452859546119,0.8765226356687559,0.96685582713881,0.870034163787591,0.999916025129019,3,4,Data independant,1,1,1,0.1204000000000001
28,85,INERIS,14.575666666667,14.68,-0.1043333333330008,1073767.75,390.277239784009,390.27701,0.999933261421493,0.999916447552114,0.9996272960297242,0.999753945108998,0.999824340477687,0.997452374926168,0.9998028426610459,3,4,Data independant,1,1,1,0.1043333333330008
42,106,INERIS,12.268366666667,12.351,-0.08263333333299983,128998.90625,329.073560839251,329.07312,0.36913206045732,0.50764742416542,0.292998007377219,0.357759462910363,0.729520723325831,0.6538037430635191,0.999551530608788,4,5,Data independant,1,1,1,0.08263333333299983
77,197,INERIS,11.828983333333,11.948,-0.1190166666669992,3466.1025390625,613.959752488646,613.96093,0.8732278121598491,0.9613930025942921,0.43046400705438,0.31511226523009,0.833313599226042,0.5322144709518101,0.991501489757493,1,3,Data independant,1,0,1,0.1190166666669992
12,54,INERIS,10.3152,10.377,-0.06179999999999986,104155.28125,236.094498625803,236.09496,0.9860802840863959,0.9872012942672901,0.246924653782603,0.43513010243589,0.9689903616838079,0.6396338104323559,0.9957356246190671,2,4,Data independant,1,1,1,0.06179999999999986
34,98,INERIS,15.041483333333,15.097,-0.05551666666699973,339948.5625,446.338522918495,446.3396099999999,0.937977685428859,0.967923695526022,0.899373973298915,0.9360850724288959,0.981312641420527,0.9677867750078991,0.9997432671709,3,4,Data independant,1,1,1,0.05551666666699973
50,201,INERIS,9.92415,10.084,-0.1598500000000005,12284.6796875,449.940258184657,449.94069,1.0,1.0,0.6131150619317789,0.281557562102747,1.0,0.760294412655783,0.9949676127745649,1,4,Data independant,1,0,1,0.1598500000000005
64,284,INERIS,7.891483333333,8.002,-0.1105166666670003,119445.5,435.226381854692,435.22704,0.839442189797979,0.885623127254107,0.857776728556656,0.9238206154223159,0.8759024006868822,0.859577826696009,0.987604488212104,2,4,Data independant,1,1,1,0.1105166666670003
83,202,INERIS,7.455866666667,7.749,-0.2931333333329995,27173.73828125,313.980615286451,313.98009,0.3867739372757379,0.628842490797548,0.301014857096464,0.171803975626951,0.7767071565036279,0.576898584420164,0.9959711771476372,2,3,Data independant,1,1,1,0.2931333333329995
18,85,INERIS,14.58835,14.68,-0.09164999999999957,395970.09375,390.276963969694,390.27701,0.9999486829654699,0.999935750387082,0.9995902822424672,0.9997295162811599,0.9998636374242379,0.997125387901683,0.9998120532472071,3,4,Data independant,2A,1,1,0.09164999999999957
10,243,INERIS,7.720766666667,7.872999999999999,-0.1522333333329993,178589.9375,272.11945889398,272.11946,0.9074029279185191,0.962878669045337,0.367086159157118,0.351489512775972,0.875514992173236,0.660895957304958,0.9131598932005041,3,4,Data independant,1,1,1,0.1522333333329993
50,35,INERIS,4.459433333333,4.584,-0.1245666666669996,17625.818359375,240.057534368282,240.05686,0.8233177549024508,0.907624631251075,0.557005758196797,0.583395759591409,0.7167104410249008,0.5693051175769781,0.9850742276548821,3,4,Data independant,1,1,1,0.1245666666669996
85,115,INERIS,12.081533333333,12.134,-0.05246666666699973,61201.78125,435.938562140101,435.93871,0.997006090410424,0.9971962946784209,0.984944269447145,0.9916252141074,0.992902417604952,0.9915399142893779,0.999683520016274,6,7,Data independant,1,1,1,0.05246666666699973
70,35,INERIS,4.49115,4.584,-0.09284999999999943,129116.40625,240.056629297336,240.05686,0.9341140144552741,0.9504983623414609,0.8525932032246322,0.823292419070945,0.8633776715919681,0.724865221744093,0.999130465212418,4,4,Data independant,1,1,1,0.09284999999999943
12,257,INERIS,11.27955,11.358,-0.07844999999999835,21946.52734375,514.237036132548,514.2368799999999,0.999274436684136,0.9993242269474221,0.960468341137386,0.985550509466571,0.981470820396742,0.851053491023489,0.983982085044942,3,4,Data independant,1,1,1,0.07844999999999835
42,257,INERIS,11.25255,11.358,-0.1054499999999994,770945.5625,514.237241486245,514.2368799999999,0.999274436684136,0.9993242269474221,0.982425994091596,0.991236829329391,0.981470820396742,0.964849253122891,0.9999884111238,4,4,Data independant,1,1,1,0.1054499999999994
22,58,INERIS,11.899866666667,12.206,-0.3061333333330012,389185.875,379.246320034732,379.24711,0.137851347454788,0.397154670145738,0.136101501640976,0.140002864883075,0.468677857248154,0.500538642757583,0.999239419504089,3,4,Data independant,1,1,1,0.3061333333330012
36,98,INERIS,15.0365,15.097,-0.06050000000000111,48767.98046875,446.339878758591,446.3396099999999,0.749803271936602,0.752363561936994,0.677754960293161,0.549767730209171,0.927072980606169,0.882342247726062,0.984605297082001,2,4,Data independant,1,1,1,0.06050000000000111
46,209,INERIS,10.613283333333,10.417,0.1962833333329996,132157.28125,499.937778544266,499.93749,1.0,1.0,0.7327255090737959,0.9693472726129321,1.0,0.9160492800119271,0.999067511990404,3,4,Data independant,1,1,1,0.1962833333329996
75,142,INERIS,10.096716666667,10.175,-0.07828333333300108,240199.53125,428.231041768842,428.2324599999999,0.8865463267217621,0.8861654882602289,0.9919354758642049,0.99863166561015,0.953861763204462,0.9215842102135742,0.999423230179917,3,4,Data independant,1,1,1,0.07828333333300108
85,96,INERIS,12.968733333333,13.038,-0.06926666666699965,18023.109375,394.073984187684,394.07407,0.993130390593953,0.9910078701273841,0.973181040038163,0.972082697564417,0.996844563462725,0.9925784744220542,0.9926659395872409,2,4,Data independant,1,1,1,0.06926666666699965
85,195,INERIS,6.128266666667,6.335,-0.2067333333330001,64867.85546875,299.950805296867,299.95027,1.0,1.0,0.9880140272110501,0.982676793426125,1.0,0.9903976105323421,0.996940518129947,3,4,Data independant,2A,1,1,0.2067333333330001
50,204,INERIS,9.178383333333,9.334,-0.1556166666669991,295549.40625,399.943256548973,399.94388,1.0,1.0,0.9662010617110699,0.979636206409228,1.0,0.984844315477517,0.9933042980127891,3,4,Data independant,1,1,1,0.1556166666669991
34,54,INERIS,10.309716666667,10.377,-0.06728333333300007,870984.875,236.093747705545,236.09496,0.9883468925735341,0.988634705470223,0.875825108901764,0.9569593338621801,0.9858542688648709,0.9106911417426801,0.999956505687432,3,4,Data independant,1,1,1,0.06728333333300007
64,115,INERIS,12.09605,12.134,-0.03795000000000037,6171.650390625,435.937042873924,435.93871,0.988091917500827,0.9912730943229051,0.781500701345806,0.8489731187049641,0.9204275893903191,0.7159389560529709,0.9889443076857699,4,7,Data independant,1,1,1,0.03795000000000037
16,98,INERIS,15.02895,15.097,-0.06805000000000128,120647.0078125,446.339466335748,446.3396099999999,0.8233145922504699,0.8105436320101009,0.7157281253877958,0.6019232111129009,0.950098219723514,0.8978486845197808,0.984605297082001,2,4,Data independant,1,1,1,0.06805000000000128
38,89,INERIS,12.868333333333,12.995,-0.1266666666669973,896661.0625,278.152352662852,278.15181,0.9539439389077661,0.991828109379576,0.633231414377322,0.8356659296111519,0.958139469939051,0.8451473743734829,0.9999224004487149,3,4,Data independant,1,1,1,0.1266666666669973
18,271,INERIS,11.039516666667,11.383,-0.3434833333329994,2104967.0,263.189167815179,263.18853,1.0,1.0,1.0,1.0,1.0,1.0,0.999950996119272,3,4,Data independant,2A,1,1,0.3434833333329994
22,271,INERIS,11.102666666667,11.383,-0.2803333333330009,386621.84375,263.18795442219,263.18853,1.0,1.0,1.0,1.0,1.0,1.0,0.994210344872585,2,4,Data independant,2A,1,1,0.2803333333330009
44,142,INERIS,10.166533333333,10.175,-0.008466666667001022,573921.9375,428.232032148909,428.2324599999999,0.830365257382938,0.8499727877487842,0.992857629299067,0.9993061018726049,0.943425489958091,0.941590550357873,0.9994551897181709,3,4,Data independant,1,1,1,0.008466666667001022
38,54,INERIS,10.309533333333,10.377,-0.0674666666670003,44911.4921875,236.096531150765,236.09496,0.926985223662412,0.9393260843815029,0.0625474060600032,0.0681138085515444,0.861979681446328,0.273187770340974,0.9957356246190671,2,4,Data independant,1,1,1,0.0674666666670003
34,285,INERIS,12.418416666667,12.476,-0.05758333333299959,272505.375,277.203472230953,277.20418,0.988211192136782,0.952268122812249,0.641741080943232,0.564948886629309,0.9745681455566441,0.8024916943117439,0.993751434222895,2,4,Data independant,2A,1,1,0.05758333333299959
79,207,INERIS,9.816916666667,10.031,-0.2140833333330008,7714.15576171875,413.9732399977649,413.9737,0.9697157872667679,0.9327573562969059,0.9783759916052049,0.977924030221727,0.9858049087265991,0.973923740923496,0.9963758152996061,2,3,Data independant,1,1,1,0.2140833333330008
32,184,INERIS,10.629633333333,10.699,-0.0693666666670012,264119.03125,286.050055200395,286.05091,0.980565230628761,0.974995100382632,0.4479522638722511,0.64414365788469,0.974626430420053,0.7381508775070951,0.999600657815719,4,5,Data independant,1,1,1,0.0693666666670012
10,257,INERIS,11.295366666667,11.358,-0.06263333333300025,1460406.375,514.236654549548,514.2368799999999,0.999274436684136,0.9993242269474221,0.9807657325043531,0.9890811040380592,0.981470820396742,0.970799298786392,0.9999902446795159,4,4,Data independant,1,1,1,0.06263333333300025
58,96,INERIS,12.986333333333,13.038,-0.05166666666699982,10635.8876953125,394.073181065627,394.07407,0.9858144006820769,0.978570875735154,0.947309906689935,0.9560208781771741,0.9569040795946321,0.9335835817830831,0.9926659395872409,2,4,Data independant,1,1,1,0.05166666666699982
46,205,INERIS,10.574716666667,10.62,-0.04528333333299983,6036.3310546875,463.969544556854,463.97051,0.8710691482557049,0.758158289660207,0.347594703631452,0.213670668919153,0.819414498549662,0.494599069467605,0.996356885163226,2,3,Data independant,1,1,1,0.04528333333299983
44,195,INERIS,6.154816666667,6.335,-0.1801833333329999,54444.23046875,299.950544094261,299.95027,1.0,1.0,0.967888550264037,0.952846580942562,1.0,0.960176624439504,0.994293534024479,3,4,Data independant,1,1,1,0.1801833333329999
44,196,INERIS,11.0666,11.134,-0.06740000000000101,4285.93896484375,513.9674159774839,513.96732,0.8782048210188341,0.9518226562480842,,,0.8604544080779709,,0.994064216555631,1,3,Data independant,1,0,1,0.06740000000000101
40,54,INERIS,10.300966666667,10.377,-0.076033333333001,1467766.875,236.095538778223,236.09496,0.9885882403265258,0.988697409814578,0.908503752531722,0.9680251331691291,0.9920516555238751,0.9270883435219841,0.9957188231339971,3,4,Data independant,1,1,1,0.076033333333001
10,283,INERIS,8.003633333333,8.002,0.001633333332998532,568182.1875,435.226412705586,435.22704,0.9791378276672041,0.9767936523340199,0.808910284626766,0.9303011332519041,0.966024424848748,0.7877396990252359,0.9997702491649421,3,4,Data independant,1,1,1,0.001633333332998532
16,85,INERIS,14.578916666667,14.68,-0.1010833333330012,509072.0,390.276936217476,390.27701,0.9999950094263691,0.999993748099843,0.9996344578742579,0.9997586733307521,0.9999854188980329,0.9975139529021441,0.9995077130776558,3,4,Data independant,2A,1,1,0.1010833333330012
50,207,INERIS,9.834133333333,10.031,-0.1968666666670007,38097.4609375,413.973061394397,413.9737,0.9460516502397691,0.879934556499863,0.8000841090060309,0.8338233075524529,0.976946374582965,0.9225064853970529,0.9963758152996061,2,3,Data independant,1,1,1,0.1968666666670007
40,29,INERIS,9.195183333333,9.283,-0.08781666666699905,256136.828125,197.12769249511,197.12766,0.898447299988757,0.893547747970884,0.9578900421334631,0.870357530760876,0.93664852203208,0.92884139219393,0.997697200120226,2,3,Data independant,1,1,1,0.08781666666699905
12,85,INERIS,14.584116666667,14.68,-0.09588333333300092,767222.625,390.277032022787,390.27701,0.999951504180174,0.9999392780194091,0.999491318005843,0.99966420429756,0.999870888345341,0.9961737057065649,0.999807494493755,3,4,Data independant,2A,1,1,0.09588333333300092
58,103,INERIS,10.81335,11.03,-0.2166499999999996,128897.140625,232.017096703462,232.01701,0.996733989276715,0.9967859515199499,0.6400308456504139,0.7624131066081791,0.9913231419590258,0.7119793945568299,0.999889048800101,6,6,Data independant,1,1,1,0.2166499999999996
79,115,INERIS,12.079933333333,12.134,-0.05406666666699955,4570.20068359375,435.937956157751,435.93871,0.9873013693109259,0.988455088780912,0.657008557764126,0.8048269932738259,0.915896667145379,0.679012777368005,0.9671279149321459,3,7,Data independant,1,1,1,0.05406666666699955
38,177,INERIS,6.657816666667,6.773,-0.1151833333329995,34677.1171875,410.100724071388,410.10085,0.996294222129412,0.9976680631352042,0.652246562445665,0.4630179230077971,0.963768370357037,0.703757383820662,0.9981721690612951,3,5,Data independant,1,1,1,0.1151833333329995
22,28,INERIS,11.025516666667,11.111,-0.08548333333300029,106590.4609375,215.093407899694,215.0937732,0.54511578667536,0.723837387880143,0.3363278731412139,0.4093598724315261,0.7963294282568391,0.662625396518152,0.992786767131882,3,5,Data independant,2A,1,1,0.08548333333300029
2,85,INERIS,14.594766666667,14.68,-0.08523333333300087,232174.296875,390.276029277294,390.27701,0.999809733129562,0.999761865430437,0.9997736007556189,0.9998505175139621,0.999524282870298,0.998609192720078,0.9999665194946971,4,4,Data independant,2B,1,1,0.08523333333300087
46,207,INERIS,9.957533333333,10.031,-0.07346666666700052,84897.3828125,413.973835865875,413.9737,0.901992968560131,0.8144018617302949,0.7297015541296099,0.7858725523345059,0.961850140774713,0.8941710501719141,0.9963758152996061,2,3,Data independant,1,1,1,0.07346666666700052
64,205,INERIS,10.4888,10.62,-0.1311999999999998,1186.90930175781,463.969985718227,463.97051,0.165055590130075,0.195555905343728,0.59770365698177,0.260098662548291,0.260769344600633,0.604740181074896,0.9951763605427049,1,3,Data independant,2A,0,1,0.1311999999999998
