Site;Type;Site #;Moment;Dates;Year;Season;2378-TCDD;12378-PCDD;123478-HxCDD;123678-HxCDD;123789-HxCDD;1234678-HpCDD;OCDD;2378-TCDF;12378-PeCDF;23478-PeCDF;123478-HxCDF;123678-HxCDF;234678-HxCDF;123789-HxCDF;1234678-HpCDF;1234789-HpCDF;OCDF;PCB-77;PCB-81;PCB-105;PCB-114;PCB-118;PCB-123;PCB-126;PCB-156;PCB-157;PCB-167;PCB-169;PCB-189;Total TCDF;Total TCDD;Total PeCDF;Total PeCDD;Total HxCDF;Total HxCDD;Total HpCDF;Total HpCDD;DF- TEQ;PCB - TEQ;TOTAL
Penn Nursery;Rural;1;21;10/31 - 11/25;2002;Fall;0,388278515;2,102188958;2,332557921;4,665693208;3,893755104;94,32252224;599,9032969;2,170029442;2,428400647;4,018754804;4,60247165;4,194562697;5,788669731;0,355946029;23,35098331;3,114311244;24,92979015;27,22106641;2,815524431;106,1484177;10,03490667;289,9998824;5,879604848;2,944854375;16,94886239;3,792427402;6,57590803;0,57216953;1,895203311;104,6126246;20,18384309;58,28998734;30,11568996;56,54922939;65,0258257;45,76605661;377,4595458;7,964642606;0,328455544;8,29309815
Penn Nursery;Rural;1;22;02/13 - 03/10;2003;Winter;0,443916172;2,280615973;2,515345723;4,288590517;4,408778603;66,40539598;352,2290644;2,467754468;2,083260146;3,250724724;3,308264434;3,145324882;3,980995059;0,298184758;16,64510875;1,781042231;16,25227924;29,68968361;3,135376428;107,9625103;10,35687888;266,1883769;5,740527119;3,328967975;19,8495866;4,608285447;7,446014871;0,566793029;2,095359618;94,52887019;18,13253713;54,68611658;29,69613666;36,7259297;60,14970024;29,42483961;220,4792617;7,162431084;0,366537596;7,52896868
Penn Nursery;Rural;1;23;05/01 - 05/26;2003;Spring;0,668357496;2,683565648;2,018785444;3,826510626;3,500380786;47,12665619;250,4104803;2,431366521;1,751680932;2,818310335;3,310784279;3,215389811;3,254740029;0,273662882;12,92654672;1,466093741;12,92296943;75,47550742;5,40051936;216,1280932;18,70804774;620,0640466;13,58953828;4,732758079;28,85444192;6,520808151;14,75394702;0,6105246;2,439117322;102,1823814;19,6297968;66,63124774;30,65143523;47,73419971;49,95808326;23,28638603;153,5254731;7,127321712;0,528390994;7,655712705
Penn Nursery;Rural;1;24;07/31 - 08/25;2003;Summer;1,345346838;6,729735858;3,788703211;6,747145522;5,688757983;64,14200696;285,1582991;1,822611781;1,743968124;2,233840065;3,573183571;4,317596814;3,642822229;0,14167865;24,50560372;1,281711513;15,69631345;92,3156469;5,530870335;531,2949361;37,00574289;1266,703181;18,17268815;5,640731322;91,60245099;19,94126994;36,67075693;0,512084272;3,003467306;68,96928671;14,59710325;98,52189216;50,41718794;101,0817132;56,10234392;43,56558443;211,6174746;12,75935334;0,650458321;13,40981166
Penn Nursery;Rural;1;25;11/06 - 12/01;2003;Fall;0,399673126;2,463987663;3,062644565;5,841595118;5,539708305;0;568,5250723;4,383328308;2,684006866;6,691540101;5,707423201;4,681235446;6,654585972;0,488931562;22,97978342;3,066055715;30,75493231;30,97608857;3,302562145;118,9434045;11,61610428;343,9576688;7,480084377;4,28269937;21,42543588;5,26681627;9,936681214;0,825498405;2,572575952;126,6810307;21,46352706;73,43524654;32,23423455;60,7156351;79,54177434;39,81039966;255,8362825;9,027830666;0,47275923;9,500589896
Penn Nursery;Rural;1;26;02/26 - 03/16;2004;Winter;0,472857523;2,616200376;2,938982212;5,217512291;4,953093223;86,94206162;492,8080608;2,796052986;2,594760992;3,920429564;4,947137838;4,4647517;5,68441443;0,34422122;23,17954724;3,117048206;29,91746918;3,45948281;32,44791202;7,835499283;360,3007575;12,16804145;124,5949796;4,486191084;10,40882089;22,44346173;5,517068128;0,864721818;2,69481145;122,6213652;22,46609219;68,6179393;33,61338075;53,86406993;68,96275606;42,74238953;320,1019126;8,766850418;0,501019988;9,267870406
Penn Nursery;Rural;1;27;05/25 - 06/21;2004;Spring;0,702446407;2,939168102;2,196548141;3,796991636;2,949802278;50,86090088;290,9628724;1,770590312;1,426161165;2,060076215;2,856457844;3,022469148;2,986431107;0,223908485;16,08478206;1,21702237;16,48238209;97,40964338;4,738116217;276,177823;22,611803;861,072866;15,86855381;50,38354454;97,86336822;25,03225963;104,4790073;6,716663749;13,63360448;75,30060059;16,72519577;69,22494134;29,7154326;54,67148063;52,47729564;30,3044478;177,2362675;7,056602733;5,293518944;12,35012168
Penn Nursery;Rural;1;28;08/04 - 08/31;2004;Summer;0,94271479;4,087639487;2,372332676;4,430231545;3,459945134;65,28255922;514,7680324;1,286480108;1,478894826;2,094269944;2,930218031;3,471677739;3,106207102;0,140791257;19,36114432;1,36567519;21,64078942;86,49217542;5,192850852;294,7899066;25,571212;822,7489065;19,13411842;7,187393656;37,38007866;8,700313035;22,25557791;1,028362804;3,005893331;63,98551977;15,48703824;81,02008857;35,33215251;73,155137;61,60438764;39,65620398;321,1800544;8,843806898;0,796804903;9,6406118
Penn Nursery;Rural;1;29;11/02 - 11/30;2004;Fall;0,377588675;2,345738793;2,659779046;5,148039054;5,375085839;82,61603183;347,0484142;2,180389504;2,115607133;3,981339408;4,446538526;4,178771394;5,447888884;0,498515767;20,88398537;2,742453691;20,1812509;32,7638382;3,512438439;120,2681626;11,02657646;347,0484142;6,517723462;3,377937898;19,85795602;4,619291515;9,281154302;0,703968428;2,151391681;50,76778447;11,72807699;60,29140993;35,84316022;53,01542424;74,34609948;38,12966942;243,7051086;8,147291913;0,378866078;8,526157992
Clinton Crops, NC;Rural;3;1;06/16 - 07/14;1998;Summer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
